ind_id,race_id,municipality,csd,province,first_name,last_name,party,votes_received,total_votes,incumbent,elected,acclaimed,gender,election_year,election_date,position,ward,source
NA,MedicineHat2021mayor99,Medicine Hat,NA,AB,Linnsie,Clark,Independent,13151,19797,0,1,0,F,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021mayor99,Medicine Hat,NA,AB,Ted,Clugston,Independent,4639,19797,1,0,0,M,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021mayor99,Medicine Hat,NA,AB,Tony,Leahy,Independent,319,19797,0,0,0,M,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021mayor99,Medicine Hat,NA,AB,Alan Angus,Rose,Independent,1562,19797,0,0,0,M,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021mayor99,Medicine Hat,NA,AB,Michael,Starner,Independent,126,19797,0,0,0,M,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Kelly,Allard,Independent,3450,115735,0,0,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Mark,Asham,Independent,1831,115735,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Bill,Bergeson,Independent,2911,115735,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Jim,Black,Independent,3082,115735,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Mandi,Campbell,Independent,4226,115735,0,0,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Stephen,Campbell,Independent,1481,115735,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Brian,Dueck,Independent,3397,115735,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Robert,Dumanowski,Independent,7737,115735,1,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Shane,Gilmore,Independent,346,115735,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Bradley,Gruszie,Independent,1081,115735,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Paul Wray,Hemsing,Independent,2375,115735,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Cassie,Hider,Independent,6747,115735,0,1,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Darren,Hirsch,Independent,5283,115735,1,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Jay,Hitchen,Independent,1348,115735,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Marco,Jansen,Independent,3413,115735,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Praveen,Joshi,Independent,2341,115735,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Allison,Knodel,Independent,8083,115735,0,1,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Nicholas,Martin,Independent,603,115735,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Roger Steven,McClary,Independent,617,115735,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Andy,McGrogan,Independent,8095,115735,0,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Immanuel,Moritz,Independent,3996,115735,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Warren,Pister,Independent,2316,115735,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Ramona Karen,Robins,Independent,8113,115735,0,1,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Rockford,Rutledge,Independent,1876,115735,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Shila,Sharps,Independent,5901,115735,0,1,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Jeremy,Silver,Independent,1730,115735,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Phil,Turnbull,Independent,4253,115735,1,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Charles Chuck,Turner,Independent,771,115735,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Jim,Turner,Independent,371,115735,1,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Alison,Van Dyke,Independent,7225,115735,0,1,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Brian,Varga,Independent,4403,115735,1,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Brian,Webster,Independent,3722,115735,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,MedicineHat2021councillor99,Medicine Hat,NA,AB,Justin,Wright,Independent,2611,115735,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,LethbrideCounty2021councillor1,Lethbridge County,NA,AB,Lorne,Hickey,Independent,NA,NA,1,1,1,M,2021,2021-10-18T00:00:00Z,councillor,1.0,Canadian Municipal Barometer
NA,LethbrideCounty2021councillor2,Lethbridge County,NA,AB,Tory,Campbell,Independent,NA,NA,1,1,1,M,2021,2021-10-18T00:00:00Z,councillor,2.0,Canadian Municipal Barometer
NA,LethbrideCounty2021councillor3,Lethbridge County,NA,AB,Robert,Horvath,Independent,58,234,1,0,0,M,2021,2021-10-18T00:00:00Z,councillor,3.0,Canadian Municipal Barometer
NA,LethbrideCounty2021councillor3,Lethbridge County,NA,AB,Mark,Sayers,Independent,176,234,0,1,0,M,2021,2021-10-18T00:00:00Z,councillor,3.0,Canadian Municipal Barometer
NA,LethbrideCounty2021councillor4,Lethbridge County,NA,AB,John,Kuerbis,Independent,181,298,0,1,0,M,2021,2021-10-18T00:00:00Z,councillor,4.0,Canadian Municipal Barometer
NA,LethbrideCounty2021councillor4,Lethbridge County,NA,AB,Michael,Schooten,Independent,117,298,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,4.0,Canadian Municipal Barometer
NA,LethbrideCounty2021councillor6,Lethbridge County,NA,AB,Klaas,Vander Veen,Independent,NA,NA,1,1,1,M,2021,2021-10-18T00:00:00Z,councillor,6.0,Canadian Municipal Barometer
NA,LethbrideCounty2021councillor7,Lethbridge County,NA,AB,Morris,Zeinstra,Independent,NA,NA,1,1,1,M,2021,2021-10-18T00:00:00Z,councillor,7.0,Canadian Municipal Barometer
NA,Lethbridge2021mayor99,Lethbridge,NA,AB,Sheldon Joseph,Day Chief,Independent,1079,27984,0,0,0,M,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021mayor99,Lethbridge,NA,AB,Blaine E.,Higgins,Independent,11973,27984,0,1,0,M,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021mayor99,Lethbridge,NA,AB,Gary L.,Klassen,Independent,687,27984,0,0,0,M,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021mayor99,Lethbridge,NA,AB,Bridget,Mearns,Independent,11465,27984,0,0,0,F,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021mayor99,Lethbridge,NA,AB,Kolton (tha maniac),Menzak,Independent,321,27984,0,0,0,M,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021mayor99,Lethbridge,NA,AB,Stephen,Mogdan,Independent,2459,27984,0,0,0,M,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Kelti,Baird,Independent,5785,164920,0,0,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Marissa,Black,Independent,4839,164920,0,0,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Mark,Campbell,Independent,9117,164920,1,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Jeff,Carlson,Independent,8877,164920,1,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Ben,Christensen,Independent,1207,164920,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Belinda,Crowson,Independent,10738,164920,1,1,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Rajko,Dodic,Independent,12079,164920,0,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Rufa,Doria,Independent,4777,164920,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Jerry,Firth,Independent,4695,164920,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Bill,Ginther,Independent,6289,164920,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Zachary,Hampton,Independent,2848,164920,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Dale P.,Leier,Independent,2333,164920,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Ryan,Lepko,Independent,3835,164920,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Darcy,Logan,Independent,4883,164920,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Shelby J.,Macleod,Independent,3661,164920,0,0,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Bernard (Bernie),Mbonihankuye,Independent,850,164920,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,John,Middleton-Hope,Independent,10046,164920,0,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
